Tool names,DOI,Domain,Year Published,Web-based,Controlled access (for web-based): does it require login or sign up or payment?,Command-line,Both,Package manager availability - Anaconda,Package manager availability - Bioconductor,Package manager availability - R package manager (includes CRAN),Package manager availability - Python based package manager (includes pypi),Package manager availability - Other (homebrew and ubuntu),Thread availability,Docker support,Number of releases - Stand alone website,Number of releases - Anaconda,Number of releases for Pypi,Number of releases for CRAN/R,Number of releases for Bioconductor,Number of releases for Github/Sourceforget,Number of Releases per Year for standalone website,Number of releases per year for Anaconda,Number of releases per year for Pypi,Number of releases per year for CRAN,Number of releases per year for Bioconductor,Number of releases per year for github and source forge,Required Expertise,Has_Documentation,Has_Package_Manager,Has_Toy_Examples,Source Code Link,Link is Broken,Storage location - Github / Gitlab / sourceforge / Google code / bitbucket,Storage location anaconda,Storage location mamba,Storage location docker,Storage location python,Storage location bioconductor,Storage location other,Storage location for tools on web server,Comparison to other tools in the original publication - only note whether benchmarked or not.,Tools Benchmarked Against,License,Number of citations,Citations per year
MAJIQ,https://doi.org/10.7554/elife.11752,RNA splicing,2016,N,N,Y,N,Y,N,N,Y,N,N,Y,1,1,1,0,0,0,0.1111111111,0.1,0.1,0,0,0,"1,2",Y,Y,N,https://majiq.biociphers.org/,N,N,https://anaconda.org/manueltorres/majiq,,https://hub.docker.com/r/bmennis/majiq,https://pypi.org/project/rna-majiq/,N,N,N,Y,"MISO, rMATS, Cufflinks, Cuffdiff",N,504,56
JACUSA,https://doi.org/10.1186/s12859-016-1432-8,RNA splicing,2017,N,N,Y,N,N,N,N,N,N,Y,N,0,0,0,0,0,8,0,0,0,0,0,0.8888888889,1,Y,N,N,https://github.com/dieterich-lab/JACUSA,N,https://github.com/dieterich-lab/JACUSA,,,,,,,,Y,"REDItools, SAMtools/BCFtools, MuTect",GPL-3.0,100,12.5
SPRINT,https://doi.org/10.1093/bioinformatics/btx473,RNA splicing,2017,N,N,Y,N,N,N,N,Y,N,N,N,0,0,15,0,0,2,0,0,1.666666667,0,0,0.2222222222,"1,2",Y,Y,N,http://sprint.tianlab.cn/,N,https://github.com/jumphone/SPRINT,,,,https://pypi.org/project/sprint/,,,,Y,"GIREMI, RNAEditor, REDItools, JACUSA",MIT,96,12
ssHMM,https://doi.org/10.1093/nar/gkx756,RNA splicing,2017,Y,N,Y,N,Y,N,N,Y,N,N,Y,0,5,11,0,0,8,0,0.5555555556,1.222222222,0,0,0.8888888889,"1,2,3",Y,Y,Y,https://github.molgen.mpg.de/heller/ssHMM,N,https://github.molgen.mpg.de/heller/ssHMM,https://anaconda.org/bioconda/sshmm,,https://hub.docker.com/r/hellerd/sshmm,https://pypi.org/project/sshmm/#description,n,n,n,Y,,GPL,42,5.25
Rail-RNA,https://doi.org/10.1093/bioinformatics/btw575,RNA splicing,2017,N,N,Y,N,N,N,N,N,N,N,Y,1,0,0,0,0,34,0.125,0,0,0,0,3.777777778,"1,3",Y,N,Y,http://rail.bio/,N,https://github.com/nellore/rail,n,,https://hub.docker.com/r/congelos/rail-rna,n,n,n,n,Y,"TopHat 2 v2.1.0, Subjunc, STAR v2.4.2a, HISAT v0.1.6-beta",MIT,58,7.25
Portcullis,https://doi.org/10.1093/gigascience/giy131,RNA splicing,2018,N,N,Y,N,Y,N,N,N,N,Y,Y,0,27,0,0,0,0,0,3.375,0,0,0,0,"1,2,3",Y,Y,Y,https://github.com/TGAC/portcullis,N,https://github.com/TGAC/portcullis,https://anaconda.org/bioconda/portcullis/files,,https://hub.docker.com/r/maplesond/portcullis,n,n,n,n,Y,"finesplice, soapsplice, mapsplice",GPL 3,145,20.71428571
MAJIQ-SPEL,https://doi.org/10.1093/bioinformatics/btx565,RNA splicing,2018,Y,N,Y,N,N,N,N,N,N,N,N,0,0,0,0,0,1,0,0,0,0,0,0.125,"1,2,3",Y,Y,Y,https://galaxy.biociphers.org/galaxy,N,https://bitbucket.org/biociphers/majiq_spel/src/master/,N,,N,N,N,https://galaxy.biociphers.org/galaxy/,N,N,N,N,23,3.285714286
LeafCutter,https://doi.org/10.1038/s41588-017-0004-9,RNA splicing,2018,N,N,Y,N,Y,N,N,Y,N,N,N,0,1,1,0,0,1,0,0.125,0.125,0,0,0.125,"1,2,3",Y,Y,Y,https://github.com/davidaknowles/leafcutter,N,https://github.com/davidaknowles/leafcutter,https://anaconda.org/davidaknowles/r-leafcutter,,N,https://pypi.org/project/leafcutter/,N,N,N,Y,"MAJIQ, rMATTS, Cufflinks",Apache-2.0 license,703,100.4285714
TAPAS,https://doi.org/10.1093/bioinformatics/bty110,RNA splicing,2018,N,N,Y,N,N,N,N,N,N,N,Y,0,0,0,0,0,1,0,0,0,0,0,0.125,"1,3",Y,N,Y,https://github.com/arefeen/TAPAS,N,https://github.com/arefeen/TAPAS,n,,n,n,n,n,n,N,,n,72,10.28571429
ASpli,https://doi.org/10.1093/bioinformatics/btab141,RNA splicing,2021,N,N,Y,N,N,Y,N,N,N,N,Y,0,0,0,0,17,1,0,0,0,0,3.4,0.2,"1,2,3",Y,Y,Y,https://github.com/chernolab/ASpli_SM and https://www.bioconductor.org/packages/ASpli,N,https://github.com/chernolab/ASpli_SM,,,https://biocontainers.pro/tools/bioconductor-aspli,,https://bioconductor.org/packages/release/bioc/html/ASpli.html,,,Y,"LeafCutter, MAJIQ, rMATS",GPL,66,16.5
scReadSim,https://doi.org/10.1038/s41467-023-43162-w,RNA splicing,2023,N,N,Y,N,N,N,N,Y,N,N,Y,0,0,5,0,0,1,0,0,1.666666667,0,0,0.3333333333,"1,2,3",Y,Y,Y,https://github.com/JSB-UCLA/scReadSim,N,https://github.com/JSB-UCLA/scReadSim,,,https://hub.docker.com/r/cannabioinfo/screadsim,https://pypi.org/project/scReadSim/,,,,Y,"SCAN-ATAC-Sim, minnow",MIT license,3,1.5
rMATS-turbo,https://www.nature.com/articles/s41596-023-00944-2,RNA splicing,2024,N,N,Y,N,N,N,N,N,N,N,Y,0,0,0,0,0,5,0,0,0,0,0,2.5,"1,2,3",Y,Y,Y,https://github.com/Xinglab/rmats-turbo,N,https://github.com/Xinglab/rmats-turbo,n,,n,n,n,n,n,N,,2-Clause BSD License,60,60
mir-abela,https://link.springer.com/article/10.1186/1471-2105-6-267,Small RNA detection,2005,Y,N,N,N,N,N,N,N,N,N,N,1,0,0,0,0,0,0.05,0,0,0,0,0,1,Y,N,N,https://tools4mirs.org/software/precursor_prediction/mir-abela/,N,n,n,,n,n,n,n,https://tools4mirs.org/software/precursor_prediction/mir-abela/,N,,n,311,15.55
micropred,https://academic.oup.com/bioinformatics/article/25/8/989/324698,Small RNA detection,2009,N,N,Y,N,N,N,N,N,N,N,N,1,0,0,0,0,0,0.0625,0,0,0,0,0,0,N,N,N,https://www.cs.ox.ac.uk/people/manohararukshan.batuwita/microPred.htm,Y,n,n,,n,n,n,https://www.cs.ox.ac.uk/people/manohararukshan.batuwita/microPred.htm,n,Y,,n,231,14.4375
SeqBuster,https://doi.org/10.1093/nar/gkp1127,Small RNA detection,2010,N,N,Y,N,Y,N,N,N,N,N,Y,0,7,0,0,0,11,0,0.4375,0,0,0,0.6875,2,N,Y,N,http://estivill_lab.crg.es/seqbuster,Y,https://github.com/lpantano/seqbuster,https://anaconda.org/bioconda/SeqBuster,,https://biocontainers.pro/tools/seqbuster,,,,,N,,"GNU general public license, Apache License Version 2, MIT",221,14.73333333
NiBLS,doi.org/10.1186/1471-2105-11-93,Small RNA detection,2010,N,N,Y,N,N,N,N,N,N,N,N,0,0,0,0,0,1,0,0,0,0,0,0.0625,1,Y,N,N,https://github.com/danmaclean/NiBLS,N,https://github.com/danmaclean/NiBLS,,,,,,,,N,,GPL3,17,1.133333333
MIReNA,doi.org/10.1093/bioinformatics/btq329,Small RNA detection,2010,N,N,Y,N,N,N,N,N,N,N,N,1,0,0,0,0,0,0.06666666667,0,0,0,0,0,"1,3",Y,N,Y,https://www.ihes.fr/%CB%9Ccarbone/data8/,Y,,,,,,,,http://www.lcqb.upmc.fr/mirena/index.html,Y,"MiPred, microPred, miR-abela, and miRDeep",CeCILL License,184,12.26666667
miRTRAP,doi.org/10.1186/gb-2010-11-4-r39,Small RNA detection,2010,N,N,Y,N,N,N,N,N,N,N,N,0,0,0,0,0,1,0,0,0,0,0,0.0625,,N,N,N,http://flybuzz.berkeley.edu/CionaMicroRNAData.html,Y,https://github.com/JimBell/miRTRAP,,,,,,,,Y,miRDeep,No License,125,8.333333333
DARIO,https://doi.org/10.1093/nar/gkr357,Small RNA detection,2011,Y,Y,Y,N,N,N,N,N,N,Y,N,1,0,0,0,0,1,0.07142857143,0,0,0,0,0.06666666667,"1,3",Y,N,Y,http://dario.bioinf.uni-leipzig.de/,N,https://github.com/mfasold/dario,,,,,,,http://dario.bioinf.uni-leipzig.de/,N,,AGPL-3.0,116,8.285714286
miRanalyzer,https://doi.org/10.1093/nar/gkr247,Small RNA detection,2011,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,,N,N,N,https://bioinfo2.ugr.es/miRanalyzer/miRanalyzer.php,Y,,,,,,,,,N,,,,
Seq-Cluster,doi.org/10.1093/bioinformatics/btr527,Small RNA detection,2011,N,N,Y,N,Y,N,N,Y,N,Y,N,0,17,38,0,0,9,0,1.133333333,2.533333333,0,0,0.6,"1,2,3",Y,Y,Y,http://estivill_lab.crg.es/seqbuster,Y,https://github.com/lpantano/seqcluster,https://anaconda.org/bioconda/seqcluster,,,https://pypi.org/project/seqcluster/,,,http://estivill_lab.crg.es/seqbuster.,N,,MIT,59,4.214285714
UEA sRNA Workbench,https://doi.org/10.1093/bioinformatics/bts311,Small RNA detection,2012,N,N,Y,N,N,N,N,N,N,Y,N,0,0,0,0,0,2,0,0,0,0,0,0.1428571429,"1,3",Y,N,Y,http://srna-workbench.cmp.uea.ac.uk/,Y,"https://sourceforge.net/projects/srnaworkbench/files/
  https://github.com/sRNAworkbenchuea/UEA_sRNA_Workbench",,,,,,,,N,,MIT,339,26.07692308
miRDeep2,https://doi.org/10.1093/nar/gkr688,Small RNA detection,2012,Y,Y,Y,N,Y,N,N,N,N,Y,Y,0,4,0,0,0,15,0,0.2857142857,0,0,0,1.071428571,"1,2,3",Y,Y,Y,,Y,https://github.com/rajewsky-lab/mirdeep2,https://anaconda.org/bioconda/miRDeep2,,https://biocontainers.pro/tools/mirdeep2,,,,,Y,"miRanalyzer, MIReNA, miRTRAP",GPL-3.0,3008,231.3846154
mirTools 2.0,https://doi.org/10.4161/rna.25193,Small RNA detection,2013,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,,N,N,N,,N,,,,,,,,,N,,,102,
ShortStack,https://doi.org/10.1261/rna.035279.112,Small RNA detection,2013,N,Y,Y,N,Y,N,N,N,N,N,Y,0,10,0,0,0,59,0,0.7692307692,0,0,0,4.538461538,"1,2,3",Y,Y,Y,,N,https://github.com/MikeAxtell/ShortStack,https://anaconda.org/bioconda/shortstack,,https://hub.docker.com/r/cyverse/shortstack,,,,,N,,MIT,469,39.08333333
miRNAconsTarget,https://doi.org/10.1093/nar/gkv555,Small RNA detection,2015,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,,N,N,N,,N,,,,,,,,,N,,,,
sRNAtoolbox,https://doi.org/10.1093/nar/gkv555,Small RNA detection,2015,Y,N,Y,Y,N,N,N,N,N,N,Y,0,0,0,0,0,1,0,0,0,0,0,0.09090909091,"1,3",Y,N,Y,https://bioinfo5.ugr.es/srnatoolbox/ AND https://github.com/bioinfoUGR/sRNAtoolbox AND https://arn.ugr.es/srnatoolbox/,N,https://github.com/bioinfoUGR/sRNAtoolbox/,,,https://hub.docker.com/r/ugrbioinfo/srnatoolbox,,,,https://bioinfo5.ugr.es/srnatoolbox/ https://arn.ugr.es/srnatoolbox/,N,,MIT,447,44.7
miRTrace,https://doi.org/10.1186/s13059-018-1588-9,Small RNA detection,2018,N,N,Y,N,Y,N,N,N,N,Y,Y,0,2,0,0,0,2,0,0.25,0,0,0,0.25,"1,2,3",Y,Y,Y,https://github.com/friedlanderlab/mirtrace,N,https://github.com/friedlanderlab/mirtrace,https://anaconda.org/bioconda/miRTrace,,https://hub.docker.com/r/gcfntnu/mirtrace,,,,,Y,"Barcode of Life Engine (DNA barcoding using COI gene), FastQ Screen",GPL2,76,10.85714286
Rnnotator,doi.org/10.1186/1471-2164-11-663,Transcriptome assembly,2010,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,,N,N,N,,N,,,,,,,,,N,,,,
Trans-ABySS,https://doi.org/10.1038/nmeth.1517,Transcriptome assembly,2010,N,N,Y,N,N,N,N,N,N,Y,Y,17,0,0,0,0,7,1.133333333,0,0,0,0,0.4375,"1,3",Y,N,Y,http://www.bcgsc.ca/platform/bioinfo/software/,N,https://github.com/bcgsc/transabyss,,,https://biocontainers.pro/tools/transabyss,,,,https://www.bcgsc.ca/resources/software/trans-abyss,Y,"Cufflinks, Scripture, TopHat","Copyright 2018 BC Cancer, GNU General public license V3",1229,81.93333333
Scripture,https://doi.org/10.1038/nbt.1633,Transcriptome assembly,2010,N,N,Y,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,"1,3",Y,N,Y,http://www.broadinstitute.org/software/Scripture/,N,,,,,,,,https://web.archive.org/web/20230325195745/http://software.broadinstitute.org/software/scripture/?q=download,N,,BSD License,1483,98.86666667
IsoLasso,https://doi.org/10.1089/cmb.2011.0171,Transcriptome assembly,2011,N,N,Y,N,N,N,N,N,N,N,N,1,0,0,0,0,0,0.07142857143,0,0,0,0,0,1,Y,N,N,http://www.cs.ucr.edu/~liw/isolasso.html,N,,,,,,,,http://alumni.cs.ucr.edu/~liw/isolasso.html,Y,"IsoInfer, Cufflinks, Scripture",GNU Lesser General Public License v 2.1,252,18
IsoInfer,https://doi.org/10.1089/cmb.2010.0243,Transcriptome assembly,2011,N,N,Y,N,N,N,N,N,N,N,N,9,0,0,0,0,0,0.6428571429,0,0,0,0,0,"1,3",Y,N,Y,https://www.cs.ucr.edu/~jianxing/IsoInfer.html,N,,,,,,,,https://www.cs.ucr.edu/~jianxing/IsoInfer.html,Y,"Fig 4 MLE, MLE + Importance Sampling, Uniq",non-commercial usage,118,8.428571429
NSMAP,doi.org/10.1186/1471-2105-12-162,Transcriptome assembly,2011,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,,N,N,N,https://sites.google.com/site/nsmapforrnaseq,N,,,,,,,,,Y,IsoInfer,,56,4
Trinity,https://doi.org/10.1038/nbt.1883,Transcriptome assembly,2011,Y,Y,Y,N,Y,N,N,N,N,Y,Y,0,17,0,0,0,36,0,1.133333333,0,0,0,2.4,"1,2,3",Y,Y,Y,http://trinityrnaseq.sourceforge.net/,Y,https://github.com/trinityrnaseq/trinityrnaseq?tab=readme-ov-file,https://anaconda.org/bioconda/trinity,,https://hub.docker.com/r/trinityrnaseq/trinityrnaseq,,,,,Y,"ABySS, TransABySS, SOAP","BSD-3-Clause License
  + has an additional license page on github (Broad Institute...)",18275,1305.357143
Oases,http://doi.org/10.1093/bioinformatics/bts094,Transcriptome assembly,2012,N,N,Y,N,Y,N,N,N,N,Y,Y,0,1,0,0,0,1,0,0.07142857143,0,0,0,0.07142857143,"1,2,3",Y,Y,Y,http://www.ebi.ac.uk/~zerbino/oases/,Y,https://github.com/dzerbino/oases,https://anaconda.org/bioconda/oases,,https://biocontainers.pro/tools/oases,,,,,Y,"Velvet, Trinity, trans-ABySS, Cufflinks",GPL-3,1737,133.6153846
Cufflinks,https://doi.org/10.1038/nprot.2012.016,Transcriptome assembly,2012,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,25,1,0,0,0,1,1.923076923,0.07142857143,0,0,0,0.07142857143,"1,2,3",Y,Y,Y,-,N,https://github.com/cole-trapnell-lab/cufflinks,https://anaconda.org/bioconda/cufflinks,,https://hub.docker.com/r/stevelee/cufflinks,,,,https://cole-trapnell-lab.github.io/cufflinks/,N,,Boost Software License,13314,1024.153846
Oases,https://doi.org/10.1093/bioinformatics/bts094,Transcriptome assembly,2012,N,N,Y,N,Y,N,N,N,N,Y,Y,0,1,0,0,0,1,0,0.07142857143,0,0,0,0.07142857143,"1,2,3",Y,Y,Y,http://www.ebi.ac.uk/~zerbino/oases/,Y,https://github.com/dzerbino/oases,https://anaconda.org/bioconda/oases,,https://hub.docker.com/r/ycogne/oases,,,,,Y,"Trinity, OASES, CD-HIT-EST",GPL3,1745,134.2307692
SEECER,https://doi.org/10.1093/nar/gkt215,Transcriptome assembly,2013,N,N,Y,N,N,N,N,N,N,N,N,3,0,0,0,0,1,0.25,0,0,0,0,0.07692307692,"1,3",Y,N,Y,http://sb.cs.cmu.edu/seecer/,N,https://github.com/haisonle/SEECER,,,,,,,http://sb.cs.cmu.edu/seecer/,Y,"Coral, SEED, Quake, ECHO, HiTEC",GPL,112,9.333333333
PRICE,https://pmc.ncbi.nlm.nih.gov/articles/PMC3656733/,Transcriptome assembly,2013,N,N,Y,N,N,N,N,N,N,Y,N,27,0,0,0,0,11,2.25,0,0,0,0,0.8461538462,"1,3",Y,N,Y,"http://derisilab.ucsf.edu/software/price/
  http://sourceforge.net/projects/pricedenovo/",N,https://sourceforge.net/projects/pricedenovo/,,,,,,,https://derisilab.ucsf.edu/software/price/,Y,"MetaVelvet, SOAPdenovo, IDBA-UD, Trinity",GNU General Public License 3+,331,27.58333333
IDBA-Tran,http://doi.org/10.1093/bioinformatics/btt219,Transcriptome assembly,2013,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,,N,N,N,,N,,,,,,,,,G,"Laserson J, Jojic V, Koller D: Genovo de novo assembly for metagenomes . J Comput Biol. 2011, 18: 429-443. 10.1089/cmb.2010.0244.",compared to Detonate,2011,167.5833333
BRANCH,https://doi.org/10.1093/bioinformatics/btt127,Transcriptome assembly,2013,N,N,Y,N,N,N,N,N,N,N,N,0,0,0,0,0,1,0,0,0,0,0,0.07692307692,"1,3",Y,N,Y,https://manuals.bioinformatics.ucr.edu/home/branch,Y,https://github.com/baoe/BRANCH,,,,,,,https://manuals.bioinformatics.ucr.edu/home/branch (link doesn't work anymore) https://help.rc.ufl.edu/doc/BRANCH,Y,Cufflinks,Artistic 2.0,44,3.666666667
EBARDenovo,https://doi.org/10.1093/bioinformatics/btt092,Transcriptome assembly,2013,N,N,Y,N,N,N,N,N,N,N,N,0,0,0,0,0,2,0,0,0,0,0,0.1538461538,"1,3",Y,N,Y,https://sourceforge.net/projects/ebardenovo/,N,https://sourceforge.net/projects/ebardenovo/,,,,,,,,Y,"Trinity, Oases",Common Public License 1.0,49,4.083333333
DETONATE,doi.org/10.1186/s13059-014-0553-5,Transcriptome assembly,2014,N,N,Y,N,Y,N,N,N,N,Y,Y,7,1,0,0,0,1,0.6363636364,0.08333333333,0,0,0,0.08333333333,"1,2,3",Y,Y,Y,https://deweylab.biostat.wisc.edu/detonate/,N,https://github.com/deweylab/detonate,https://anaconda.org/bioconda/detonate,,https://hub.docker.com/r/nanozoo/detonate,,,,https://deweylab.biostat.wisc.edu/detonate/,Y,"Genovo, ALE, Bowtie, BLAT",GPL,301,27.36363636
SOAPdenovo-Trans,https://doi.org/10.1093/bioinformatics/btu077,Transcriptome assembly,2014,N,N,Y,N,N,N,N,N,N,N,Y,0,0,0,0,0,2,0,0,0,0,0,0.1666666667,1,Y,N,N,https://sourceforge.net/projects/soapdenovotrans/,N,"https://sourceforge.net/projects/soapdenovotrans/, https://github.com/aquaskyline/SOAPdenovo-Trans",,,https://biocontainers.pro/tools/soapdenovo-trans,,,,,Y,"Trinity, Oases",GPL-3.0 license,1045,95
StringTie,https://doi.org/10.1038/nbt.3122,Transcriptome assembly,2015,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,35,29,0,0,0,19,3.5,2.636363636,0,0,0,1.727272727,"1,2,3 (includes a test data set)",Y,Y,Y,https://ccb.jhu.edu/software/stringtie/,N,https://github.com/gpertea/stringtie,https://anaconda.org/bioconda/stringtie,,https://hub.docker.com/r/nanozoo/stringtie,,,,https://ccb.jhu.edu/software/stringtie/,Y,"Cufflinks, Scripture, Isolasso, Traph",MIT,10427,1042.7
Bridger,http://doi.org/10.1186/s13059-015-0596-2,Transcriptome assembly,2015,N,N,Y,N,N,N,N,N,N,Y,Y,0,0,1,0,0,4,0,0,0.09090909091,0,0,0.3636363636,"1,2,3",Y,Y,Y,https://sourceforge.net/projects/rnaseqassembly/files/?source=navbar,N,https://sourceforge.net/projects/rnaseqassembly/files/?source=navbar,,,https://hub.docker.com/r/ycogne/bridger,https://pypi.org/project/bridger/,,,,Y,"ABySS, Oases, SOAPdenovo-Trans, Trinity, IBDA-Tran, Trans-ABySS, Cufflinks","Cufflinks license, Boost Software License V1, Trinity Software License",346,34.6
Bridger,https://doi.org/10.1186/s13059-015-0596-2,Transcriptome assembly,2015,N,N,Y,N,N,N,N,N,N,N,Y,0,0,0,0,0,4,0,0,0,0,0,0.3636363636,"1,3",Y,N,Y,https://sourceforge.net/projects/rnaseqassembly/files/?source=navbar,N,https://sourceforge.net/projects/rnaseqassembly/files/?source=navbar OR https://github.com/fmaguire/Bridger_Assembler,,,https://hub.docker.com/r/ycogne/bridger,,,,,Y,"ABySS (version 1.3.4), Trans-ABySS (version 1.4.4), Trinity (version 2012-10-05), Velvet (version 1.2.01) + Oases (version 0.2.02), SOAPdenovo-Trans (version 1.01) and IDBA-Tran (version 1.1.1)",GPL2,345,34.5
CLASS2,https://doi.org/10.1093/nar/gkw158,Transcriptome assembly,2016,N,N,Y,N,N,N,N,N,N,Y,N,0,0,0,0,0,13,0,0,0,0,0,1.3,"1,3",Y,N,Y,https://sourceforge.net/p/splicebox/wiki/CLASS/,N,https://sourceforge.net/p/splicebox/wiki/CLASS/ OR https://github.com/mourisl/CLASS,,,,,,,,N,"Cufflinks (v. 2.1.1), IsoCEM (part of Isolasso) (v. 0.9.1), Scripture (v. beta2), SLIDE (May 7, 2012) and iReckon (v. 1.0.7)",GPL,77,8.555555556
TransComb,https://doi.org/10.1186/s13059-016-1074-1,Transcriptome assembly,2016,N,N,Y,N,Y,N,N,N,N,N,N,0,4,0,0,0,4,0,0.4,0,0,0,0.4,2 only,N,Y,N,https://sourceforge.net/projects/transcriptomeassembly/files/TransComb/,N,https://sourceforge.net/projects/transcriptomeassembly/files/TransComb/,https://anaconda.org/bioconda/transcomb,,n,n,n,n,n,Y,,GNU General Public License,71,7.888888889
Scallop,https://doi.org/10.1038/nbt.4020,Transcriptome assembly,2017,N,N,Y,N,Y,N,N,N,N,N,Y,0,2,0,0,0,16,0,0.2222222222,0,0,0,1.777777778,"1,2,3 (since they added a githubh repo for their test data)",Y,Y,Y,https://github.com/Kingsford-Group/scallop and http://www.github.com/Kingsford-Group/scalloptest,N,https://github.com/Kingsford-Group/scallop,https://anaconda.org/bioconda/scallop,,https://hub.docker.com/layers/seandavi/scallop/latest/images/sha256-5506870257104f42641413bcba2cd1945d1d15fe4d43f6a93b2d71035d5b7a03,,,,,Y,"StringTie, TransComb",BSD-3-Clause License,214,26.75
Necklace,https://doi.org/10.1093/gigascience/giy045,Transcriptome assembly,2018,N,N,Y,N,N,N,N,N,N,Y,N,0,0,0,0,0,5,0,0,0,0,0,0.625,"1,3",Y,N,Y,https://github.com/Oshlack/necklace/wiki AND https://scicrunch.org/resolver/RRID:SCR_016103,N,https://github.com/Oshlack/necklace,,,,,,,https://scicrunch.org/resolver/RRID:SCR_016103,N,,GPL3,18,2.571428571
StringTie2,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-019-1910-1,Transcriptome assembly,2019,N,N,Y,N,N,N,N,N,N,Y,Y,0,0,0,0,0,19,0,0,0,0,0,2.714285714,"1,3",Y,N,Y,https://github.com/gpertea/stringtie,N,https://github.com/gpertea/stringtie,n,,https://hub.docker.com/r/mgibio/stringtie2,n,n,n,n,Y,,MIT,1470,245
rnaSPAdes,https://doi.org/10.1093/gigascience/giz100,Transcriptome assembly,2019,N,N,Y,N,N,N,N,N,N,Y,Y,0,0,0,0,0,30,0,0,0,0,0,4.285714286,"1,3",Y,N,Y,https://github.com/ablab/spades/,N,https://github.com/ablab/spades/,,,https://hub.docker.com/r/globusgenomics/rnaspades,,,,,Y,,GPL v2,,
Flye / Metaflye,doi.org/10.1038/s41592-020-00971-x https://doi.org/10.1038/s41587-019-0072-8,Transcriptome assembly,2019,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,0,25,0,0,0,29,0,3.571428571,0,0,0,4.142857143,"1,2,3",Y,Y,Y,https://github.com/mikolmogorov/Flye,N,https://github.com/mikolmogorov/Flye,https://anaconda.org/bioconda/flye,,https://hub.docker.com/r/nanozoo/flye,,,,,Y,"Flye paper: Miniasm, HINGE, Canu, MaSuRCA, Falcon Metaflye paper: Canu, FALCON, miniasm, wtdbg2, OPERA-MS, Flye","Copyright, BSD-3-Clause License",4773,795.5
FLAIR,https://doi.org/10.1101/410183,Transcriptome assembly,2020,N,N,Y,N,Y,N,N,N,N,N,N,1,1,0,0,0,16,0.2,0.1666666667,0,0,0,2.666666667,"1,2,3",Y,Y,Y,https://github.com/BrooksLabUCSC/FLAIR?tab=License-1-ov-file,N,https://github.com/BrooksLabUCSC/FLAIR?tab=License-1-ov-file,https://anaconda.org/search?q=FLAIR,,N,N,N,N,N,Y,"Mandalorion, pinfish",UCSC University license,411,82.2
NeuralPolish,doi.org/10.1093/bioinformatics/btab354,Transcriptome assembly,2021,N,N,Y,N,N,N,N,N,N,Y,Y,0,0,0,0,0,1,0,0,0,0,0,0.2,"1,3",Y,N,Y,https://github.com/huangnengCSU/NeuralPolish,N,https://github.com/huangnengCSU/NeuralPolish,,,https://hub.docker.com/r/docyauza/neuralpolish-docker,,,,,Y,"Racon, Medaka, MarginPolish, HELEN, Wtdbg2",MIT,25,6.25
AccuVIR,https://doi.org/10.1093/bioinformatics/btac827,Transcriptome assembly,2023,N,N,Y,N,N,N,N,N,N,N,N,0,0,0,0,0,1,0,0,0,0,0,0.3333333333,"1,3",Y,N,Y,https://github.com/rainyrubyzhou/AccuVIR,N,https://github.com/rainyrubyzhou/AccuVIR,,,,,,,,Y,"PEPPER, MarginPolish, Medaka, PBDAG-Con, Canu, Helen",,5,2.5
transXpress,https://doi.org/10.1186/s12859-023-05254-8,Transcriptome assembly,2023,N,N,Y,N,N,N,N,N,N,Y,Y,0,0,0,0,0,1,0,0,0,0,0,0.3333333333,"1,3",Y,N,Y,https://github.com/transXpress/transXpress,N,https://github.com/transXpress/transXpress,,,https://hub.docker.com/r/cgpu/transxpress,,,,,N,,GPL3,10,5
Ursa,https://doi.org/10.1093/molbev/msad267,Transcriptome assembly,2023,N,N,Y,N,N,N,N,N,N,N,N,0,0,0,0,0,3,0,0,0,0,0,1,"1,3",Y,N,Y,https://github.com/singlecellomics/ursa,N,https://github.com/singlecellomics/ursa,,,,,,,,N,,MIT License,1,0.5
GTax,https://doi.org/10.1186/s13059-023-03141-2,Transcriptome assembly,2024,N,N,Y,N,N,N,N,Y,N,Y,N,0,0,9,0,0,11,0,0,4.5,0,0,5.5,"1,2,3",Y,Y,Y,https://github.com/ncbi/gtax,N,https://github.com/ncbi/gtax,,,,https://pypi.org/project/gtax/,,,,N,,Public Domain,2,2
ERANGE,https://doi.org/10.1038/nmeth.1226,Transcriptome quantification,2009,N,N,Y,N,N,N,N,N,N,N,N,1,0,0,0,0,1,0.0625,0,0,0,0,0.05882352941,3,N,N,Y,https://woldlab.caltech.edu/rnaseq,N,https://woldlab.caltech.edu/gitweb/?p=erange.git;a=summary,n,,n,n,n,n,n,N,n,n,15478,967.375
